A00002,London
A00005,London
A00007,London
A00008,The Netherlands?
A00011,Amsterdam
A00012,London
A00014,London
A00015, London
A00018,Germany?
A00021, London
A00024,London
A00025,London?
A00026,London
A00028,London
A00033, London
A00034,London
A00044, London
A00049,London
A00075,Londini
A00089,London
A00091,London
A00092,London
A00102,London
A00156,London
A00157, London
A00158, London
A00159, London
A00164,London
A00171,London
A00179,London
A00190, London
A00191,London
A00193, London
A00198, Londini
A00201, London
A00211,  London
A00214,London
A00215,London
A00227,Londini
A00229, London
A00230, London
A00233,  London
A00234, London
A00235,  London
A00249, Roan in Normandy i.e. London
A00254, London
A00256, London
A00257, London
A00259,London
A00260,  London
A00261,London
A00263,  London
A00265, London
A00267, London
A00268, London
A00271,Antwerp
A00275,Emden
A00277,Emden
A00281, London
A00283, London
A00285,S.l.
A00287,London
A00289,London?
A00293,  London
A00301, London
A00303, London
A00313,London
A00316,London
A00320,Londini
A00321,London
A00325,Londini
A00327,  London
A00329, London
A00331,London?
A00332,  London
A00333,London
A00338, London
A00341,Londini
A00342, London
A00344, London
A00350,London
A00354,  London
A00356, London
A00358,London
A00361, London
A00363,  London
A00364, London
A00374, Ausborch i.e. Antwerp
A00375,  London
A00376,London
A00377,  London
A00378, Malborow i.e. Antwerp
A00380,London
A00381, London
A00384, London
A00386,London
A00387,  London
A00389,Londini
A00391,  London
A00392,London
A00393,  London
A00395,London
A00397, London
A00400,Im in London
A00401, London
A00402,London
A00403,Cambridge
A00405,London
A00408,London
A00412,Rouen
A00414, London
A00419,London
A00423,London
A00426,London
A00429, London
A00430,London
A00437, London
A00439,Londini
A00440, London
A00446, London
A00448, Oxford
A00452,London
A00454,London
A00455,Antverpi
A00457, London
A00458, London
A00459,Oxford
A00460,London
A00461,London
A00462,London
A00465,Londini
A00472, London
A00475,London
A00476,London
A00477, London
A00478,London
A00483, London
A00489, London
A00499, London
A00505,London
A00508, London
A00510,London
A00514, London
A00518, London
A00519,  London
A00522,  London
A00525,Prentyd  London
A00527,London
A00535,Saint-Omer
A00538, London
A00541,London
A00549,London
A00552,London
A00562,  London
A00563,London
A00564,London
A00565, London
A00566,London
A00573,Londini
A00580,London
A00584,London
