EEBO,Author
99845347,"Fisher
99841343,"Fisher
99845357,"Fisher
99836230,"Adams
99837313,"Babington
99841341,"Fisher
99841351,"Fisher
99843406,A. C.
99843406,Champney
99854878,"Fisher
99837912,"Fisher
99837914,"Fisher
23044544,"Fisher
99853562,A. C.
99853562,Sweet
99847582,"Fisher
99852769,"Fisher
99845972,"Babington
99852960,"Fit John
99837948,"Fitz-Geffry
99850294,"Fitz-Geffry
99836411,"Babington
99841344,"Fitz-Geffry
99852035,"Fitzgeffrey
99849114,"Fitzgeffrey
99844060,"Babington
34382733,"Fitzherbert
99847507,"Fitzherbert
99857264,"Fitzherbert
20178045,"Adams
99847511,"Fitzherbert
99838036,"Fitzherbert
99838059,"Fitzherbert
99853939,"Fitzjames
99855444,"Bazan
99850325,"Flecknoe
99856043,"Flecknoe
99855862,"Fleming
99838070,"Nausea
99856974,"Fleming
99851049,"Bazan
99838072,"Fleming
99851225,"Fleming
99838073,"Autpertus
99838076,"Cicero
99854879,"Fleming
99851226,"Fletcher
99841345,"Fletcher
99838082,"Fletcher
99852832,"Fletcher
99852833,"Fletcher
99838111,"Fletcher
99838109,"Fletcher
99838141,"Fletcher
99841346,"Fletcher
99838154,"Fletcher
99838159,"Fletcher
99838160,"Fletcher
99842001,"Fletcher
99852834,"Fletcher
99841335,"Fletcher
99841347,"Fletcher
99850328,"Fletcher
38160733,"Fletcher
99838167,"Fletcher
99838169,"Fletcher
99838228,"Fletcher
99853233,"Fletcher
99851228,"Forget
99841356,"Florio
99838142,"Florio
99836229,"Adams
99838146,"Florus
99848351,"Flower
99840171,"Bacon
99842707,"Floyd
99853235,"Floyd
99857183,"Floyd
99838161,"Fludd
99838238,"Folkingham
99856517,"Fonseca
23060716,"Forbes
99850089,"Forbes
99851705,"Forbes
99853236,"Forbes
99856049,"Forbes
99853238,"Forbes
99838241,"Forbes
99838242,"Forbes
99838243,"Calderwood
99849550,"Forbes
99838198,"Forbes
99848915,"Bacon
24478633,"Forbes
99838215,"Lindsay
99838245,"Ford
99838207,"Ford
99841360,"Ford
99838210,"Ford
99838294,"Ford
99849490,"Ford
99838290,"Ford
99838292,"Ford
99838211,"Ford
99856219,"Ford
99855340,"Ford
99848970,"Ford
99840175,"Bacon
99851629,"Ford
99848356,"Forman
99838308,"Forset
99854612,"Forset
99857095,"Forsyth
99838239,"Fortescue
99838321,"Fortescue
99850480,"Adams
20175836,"Bacon
99838255,"Foster
99838315,"Foster
99838259,"Foster
99855904,"Foster
99856518,"Fotherby
99838306,"Fotherby
99856516,"Fougasses
99848979,"Foulweather
99838270,"Fowler
99854892,"Fowler
99839728,"Fowler
99841371,"Foxe
99852165,"Foxe
99848670,"J. F.
99838323,"Foxe
99851238,"Foxe
99844308,"Foxe
99856244,"Bacon
99850095,"Foxle
99841352,"Fracastoro
99856119,"Eliot
99838330,"Du Vair
99857515,"Aggas
99838335,"Tremoille
99848079,"Hennot
99844260,"Commynes
99856443,"La Popelini̬re
