A00959,Oxford
A00960,London
A00962,Printed at London
A00966,London
A00967,Oxford
A00968,London
A00969,Printed at London
A00970,London
A00972,London
A00973,London
A00975,London
A00977,[Cambridge]
A00979,London
A00980,London
A00981,Imprinted at London
A00982,At London
A00983,[London
A00990,[London]
A00991,Printed at London
A00993,London
A00997,London
A01001,Printed at London
A01002,[London?
A01003,London
A01004,Printed at Cullen [i.e. Saint-Omer
A01011,[Saint-Omer
A01013,Printed at London
A01014,London
A01017,London
A01020,London
A01023,[Amsterdam
A01025,[Amsterdam
A01027,At Amsterdam
A01028,At Middelburgh
A01030,Printed at Delff
A01032,Imprinted at Delph
A01033,At Middelburgh
A01038,Aberdene
A01039,[Edinburgh?]
A01041,Printed at Middelburgh
A01042,Aberdene
A01043,London
A01044,Edinburgh
A01045,Aberdene
A01046,London
A01047,London
A01048,At London
A01049,London
A01052,London
A01053,[London]
A01055,London
A01056,London
A01057,London
A01058,Imprinted at London
A01059,London
A01062,London
A01064,At London
A01066,London
A01073,Imprinted at London
A01075,London
A01076,London
A01077,London
A01080,[Imprinted at London
A01083,London
A01084,[London]
A01085,London
A01086,[London]
A01089,London
A01090,London
A01091,London
A01092,London
A01093,London
A01094,At London
A01095,London
A01097,Imprinted at London
A01098,London
A01099,Printed at Amsterdam
A01100,Imprentit at Edinburgh
A01101,[Edinburgh]
A01108,London
A01118,At London
A01125,Imprinted at London
A01129,Londini
A01130,Imprinted at London
A01136,Imprinted at London
A01138,[London]
A01139,Oxford
A01141,London
A01143,London
A01144,London
A01145,London
A01148,At London
A01149,Imprinted at London
A01158,London
A01161,London
A01162,London
A01173,[London]
A01180,London
A01185,London
A01186,[London
A01194,At London
A01196,Imprinted at London
A01199,[London
A01200,At S. Omers
A01210,[Amsterdam]
A01216,Imprinted at London
A01217,Imprinted at London
A01218,Printed at London
A01219,Antverpiæ
A01221,[Douai
A01222,At Paris
A01224,At London
A01225,Printed at London
A01227,London
A01228,At Lundon
A01231,At London
A01233,London
A01234,London
A01239,Printed at Prague [i.e London]
A01247,London
A01253,London
A01255,London
A01256,Imprinted at London
A01258,Imprinted at London
A01267,London
A01268,[Imprinted at Monster [i.e. Antwerp]
A01272,[London?
A01273,[Antwerp
A01281,London
A01283,[Londini
A01286,At London
A01287,At London
A01289,London
A01297,[Imprinted at London
A01299,At London
A01300,Imprinted at London
A01303,At London
A01304,Imprinted at London
A01309,At London
A01312,[London]
A01313,Londini
A01320,Imprinted at London
A01324,At London
A01325,Imprinted at London
A01327,Imprinted at London
A01331,Imprinted at London
A01332,Imprinted at London
A01333,At London
A01335,Imprinted at London
A01338,[S.l.]
A01341,London
A01342,[Cambridge]
A01344,London
A01346,London
A01347,London
A01348,[Prynted in Southwarke
A01349,[Impress. Lond.
A01351,Imprinted at London
A01353,London
A01354,1575. Imprinted at London
A01362,[London?
A01363,Imprinted at London
A01364,London
A01365,Imprinted at London
A01366,[London
A01369,Imprinted at London
A01371,[Cambridge]
A01373,Imprinted at London
A01375,London
A01378,[London?
A01379,London
A01383,Imprinted at London
A01387,[London
A01389,Oxford
A01391,London
A01395,London
A01401,At London
A01402,London
A01403,London
A01404,London
A01405,London
A01406,At London
A01407,London
A01425,Printed at London
A01426,Londini
A01428,London
A01429,[S.l.]
A01430,Londini
A01433,London
A01436,[London
A01443,London
A01444,Imprinted at London
A01446,London
A01448,Imprinted at London
A01451,London
A01454,London
A01457,[London?
A01461,[Rome [i.e. Wesel?
A01463,[Imprinted at London
A01464,[Printed at London
A01466,[Rouen
A01467,[London
A01468,Roane [i.e. London?]
A01469,[[London]
A01470,Aberdene
A01471,Edinburgh
A01472,London
A01476,[London
A01483,London
A01500,At London
A01502,Imprinted at London
A01504,At London
A01505,Imprinted at London
A01506,At London
A01507,At London
A01509,Imprinted at London
A01512,[London]
A01513,At London
A01516,At London
A01517,Imprinted at London
A01518,Imprinted at London
A01520,Imprinted at London
A01521,Printed at London
A01522,[London]
A01523,London
A01524,London
A01528,London
A01529,London
A01530,London
A01531,London
A01532,London
A01533,London
A01534,London
A01537,London
A01538,London
A01539,London
A01540,London
A01541,London
A01545,London
A01547,London
A01548,London
A01550,London
A01551,London
A01552,London
A01553,London
A01554,London
A01555,Imprinted at London
A01558,London
A01565,[London]
A01567,London
A01569,London
A01573,London
A01584,Imprinted at London
A01586,London
A01594,Printed at London
A01598,Londini
A01600,At S. Omers
A01612,London
A01617,London
A01618,Imprinted at London
A01622,London
A01629,Imprinted at London
A01638,[Cambridge?]
A01639,Londini
A01645,[Cambridge]
A01647,London
A01648,Printed in Aberdene
A01653,London
A01658,Printed at London
A01661,[[London]
A01662,Imprinted at London
A01666,Imprinted at London
A01679,[Cambridge]
A01681,At London
A01683,London
A01685,London
A01689,London
A01690,London
A01692,[London
A01694,Imprinted at London
A01695,Imprinted at London
A01697,Imprinted at London
A01700,At London
A01701,At London
A01703,At London
A01704,At London
A01706,Imprinted at London
A01707,Imprinted at London
A01716,London
A01718,Imprinted at London
A01719,At London
A01727,Imprinted at London
A01730,At London
A01736,At London
A01738,At London
A01740,Imprinted at London
A01744,London
A01747,Imprinted at London
A01748,[London]
A01749,Imprinted at London
A01750,London
A01752,[London?
A01753,[Imprinted at London
A01759,London
A01760,[Leiden]
A01761,Imprinted at London
A01764,At London
A01765,[Imprinted at London
A01768,[London
A01769,[Londini
A01772,London
A01773,London
A01774,[London
A01775,Imprinted at London
A01776,London
A01777,Imprinted at London
A01779,London
A01784,[[London]
A01786,Imprinted at London
A01792,Imprinted at London
A01793,Imprinted amongst the Antipides [i.e. Dordrecht
A01794,At Dort
A01795,Imprinted in the Lowcountryes [i.e. Dordrecht
A01800,London
A01802,Londini
A01804,London
A01809,In Vtopia [i.e. London?]
A01810,Londini
A01811,London
A01812,[Oxford
A01813,At Oxford
A01818,At Oxford
A01822,At Oxford
A01828,[[London]
A01831,[Imprinted at Lo[n]don
A01836,London
A01837,London
A01839,London
A01840,London
A01843,Imprinted at London
A01845,At London
A01847,[London?
A01848,Imprinted at London
A01849,London
A01850,Imprinted at London
A01851,London
A01852,London
A01853,Imprinted at London
A01857,London
A01864,London
A01867,London
A01868,London
A01872,Printed at London
A01873,London
A01874,London
A01877,London
A01878,Imprinted at London
A01880,Printed at Geneua
A01881,London
A01883,At London
A01886,London
A01890,Imprinted at London
A01894,London
A01902,London
A01907,Imprynted at London in Flete strete at the sygne of the Sonne
A01908,[[London]
A01909,Imprynted at London
A01910,Imprinted at London
A01911,At London
A01917,London
A01919,Excusum Londini
A01920,Londini
A01923,Imprinted at London
A01924,Printed at London
A01929,At Dort
A01930,Printed at Dort
A01932,Edinburgh
A01933,London
A01935,Printed at London
A01936,Printed at London
A01937,London
A01945,[[London]
A01947,[London
A01948,London
A01951,London
A01952,[Imprinted at London
A01953,Printed at London
A01955,Printed at London
A01956,London
A01957,Imprinted at London
A01958,[Cambridge]
A01960,[Imprynted at London
A01962,[Prynted at London
A01970,London
A01971,London
A01972,London
A01974,London
A01975,At London
A01979,At London
A01980,London
A01981,London
A01982,London
A01987,Imprinted at London
A01988,[Imprynted at London
A01989,London
A01991,Imprinted at London
A01992,London
A01993,[Westminster
A01994,[[London]
A01996,London
A01997,[Enprynted at westmestre
A02000,London
A02008,Londini
A02021,At Edinburgh
A02024,London
A02026,A Paris
A02027,At London
A02029,London
A02030,London
A02031,London
A02032,London
A02036,London
A02040,Imprynted at London
A02041,Imprinted at London
A02043,Imprinted at London
A02044,Printed at London
A02045,Printed at Londo[n]
A02048,Imprinted at London
A02050,London
A02053,London
A02054,London
A02057,London
A02058,London
A02059,London
A02062,[London]
A02063,[London]
A02065,Imprinted at London
A02070,Imprinted at London
A02073,London
A02074,At London
A02077,London
A02079,Printed at London
A02080,At London
A02087,London
A02091,London
A02092,Imprinted at London
A02093,Imprinted at London
A02096,London
A02099,Imprinted at London
A02101,London
A02103,London
A02110,London
A02111,London
A02117,At London
A02120,At London
A02121,Imprinted at London
A02122,At London
A02124,At London
A02125,London
A02127,London
A02128,London
A02129,Imprinted at London
A02132,Imprinted at London
A02133,London
A02135,London
A02136,At London
A02138,Imprinted at London
A02140,London
A02141,London
A02143,Imprinted at London
A02148,London
A02151,London
A02152,London
A02153,London
A02154,Imprinted at London
A02157,Imprinted at London
A02159,London
A02160,London
A02166,At London
A02167,At London
A02168,London
A02170,London
A02171,Printed at London
A02172,Imprinted at London
A02178,London
A02180,London
A02181,Imprinted at London
A02182,Edinburgh
A02183,Printed at London
A02184,London
A02187,[London]
A02189,At London
A02190,London
A02192,London
A02194,Printed at London
A02198,[Amsterdam?
A02199,[Amsterdam]
A02200,[La Rochelle
A02201,Printed at London
A02203,[London]
A02216,[S.l.
A02218,[London
A02225,London
A02226,London
A02227,London
A02229,Imprinted at London
A02230,At London
A02233,London
A02235,London
A02237,London
A02239,London
A02242,Imprinted at London
A02248,[Enprynted at London
A02251,[London
A02253,London
A02255,London
A02257,[London
A02262,London
A02265,London
A02266,London
A02267,London
A02272,[Imprynted at London
